frame,ID,X,Y,Class,Color,Position
6,1,274,425,Player,white,Attack
6,2,429,516,Player,white,Attack
6,3,276,513,Player,white,Attack
6,4,383,574,Player,white,Attack
6,5,277,393,Player,blue,Defense
6,6,378,465,Player,blue,Defense
6,7,433,506,Player,blue,Defense
6,8,318,206,Player,white,Attack
6,9,59,334,Player,white,Attack
6,10,409,628,Player,blue,Defense
6,11,294,358,Player,white,Attack
6,12,437,434,Player,white,Attack
6,13,323,74,Player,blue,Defense
6,0,286,496,Ball,white,Ball
12,1,263,431,Player,white,Attack
12,2,418,515,Player,white,Attack
12,3,273,503,Player,white,Attack
12,4,373,578,Player,white,Attack
12,5,264,395,Player,blue,Defense
12,6,369,473,Player,blue,Defense
12,7,425,518,Player,white,Attack
12,8,306,209,Player,white,Attack
12,9,63,338,Player,blue,Defense
12,10,400,627,Player,blue,Defense
12,11,282,360,Player,white,Attack
12,12,432,439,Player,white,Attack
12,13,317,79,Player,blue,Defense
12,0,292,488,Ball,white,Ball
18,1,253,432,Player,white,Attack
18,2,410,512,Player,white,Attack
18,3,272,486,Player,white,Attack
18,4,366,573,Player,white,Attack
18,5,254,398,Player,blue,Defense
18,6,358,466,Player,blue,Defense
18,8,292,220,Player,white,Attack
18,9,61,337,Player,white,Attack
18,10,393,620,Player,blue,Defense
18,11,269,361,Player,white,Attack
18,13,303,86,Player,blue,Defense
18,0,294,477,Ball,white,Ball
24,1,238,425,Player,white,Attack
24,2,398,505,Player,white,Attack
24,3,274,474,Player,white,Attack
24,4,355,569,Player,white,Attack
24,5,244,391,Player,blue,Defense
24,6,349,474,Player,blue,Defense
24,8,279,221,Player,white,Attack
24,9,53,326,Player,white,Attack
24,10,383,614,Player,blue,Defense
24,11,257,362,Player,white,Attack
24,12,426,443,Player,white,Attack
24,13,293,85,Player,blue,Defense
24,30,388,508,Player,blue,Defense
24,0,294,467,Ball,white,Ball
30,1,230,415,Player,white,Attack
30,2,384,505,Player,white,Attack
30,3,277,456,Player,white,Attack
30,4,346,571,Player,white,Attack
30,5,239,385,Player,blue,Defense
30,6,339,483,Player,blue,Defense
30,8,261,210,Player,white,Attack
30,9,45,309,Player,white,Attack
30,10,375,617,Player,blue,Defense
30,11,249,355,Player,white,Attack
30,12,416,443,Player,white,Attack
30,13,277,83,Player,blue,Defense
30,30,372,506,Player,blue,Defense
30,0,295,456,Ball,white,Ball
30,35,282,457,Player,blue,Defense
36,1,230,423,Player,white,Attack
36,2,373,502,Player,white,Attack
36,3,289,464,Player,white,Attack
36,4,335,572,Player,white,Attack
36,5,244,395,Player,blue,Defense
36,6,331,491,Player,blue,Defense
36,8,259,236,Player,white,Attack
36,9,64,343,Player,white,Attack
36,10,363,612,Player,blue,Defense
36,11,252,376,Player,white,Attack
36,12,414,447,Player,white,Attack
36,13,279,106,Player,blue,Defense
36,30,358,512,Player,blue,Defense
36,0,297,463,Ball,white,Ball
42,1,227,412,Player,white,Attack
42,2,363,485,Player,white,Attack
42,3,295,449,Player,white,Attack
42,4,328,555,Player,white,Attack
42,5,244,389,Player,blue,Defense
42,6,325,483,Player,blue,Defense
42,8,246,237,Player,white,Attack
42,9,63,347,Player,white,Attack
42,10,359,592,Player,blue,Defense
42,11,248,362,Player,white,Attack
